system,split,concurrency,total_token_throughput_8gpu_node,median_interactivity_output_tok_s,global_frontier,split_frontier,source
vLLM published,TP1,4,59162.126544,217.623860,false,true,experiments/mi355x/results/vllm-mi355x4-20260815T034334Z.csv
vLLM same-node,TP1,4,58178.695576,211.964369,false,true,experiments/mi355x/results/vllm-mi355x4-20260815T034334Z.csv
vLLM published,TP1,8,93459.479120,171.710652,false,true,experiments/mi355x/results/vllm-mi355x4-20260815T034334Z.csv
vLLM same-node,TP1,8,87686.719704,165.959519,false,true,experiments/mi355x/results/vllm-mi355x4-20260815T034334Z.csv
vLLM published,TP1,16,140002.844040,127.675019,false,true,experiments/mi355x/results/vllm-mi355x4-20260815T034334Z.csv
vLLM same-node,TP1,16,140742.188416,127.963147,false,true,experiments/mi355x/results/vllm-mi355x4-20260815T034334Z.csv
vLLM published,TP1,32,204982.158504,93.075940,false,true,experiments/mi355x/results/vllm-mi355x4-20260815T034334Z.csv
vLLM same-node,TP1,32,201326.129104,91.026869,false,true,experiments/mi355x/results/vllm-mi355x4-20260815T034334Z.csv
vLLM published,TP1,64,278877.640400,62.359805,false,true,experiments/mi355x/results/vllm-mi355x4-20260815T034334Z.csv
vLLM same-node,TP1,64,274626.213032,61.065349,false,true,experiments/mi355x/results/vllm-mi355x4-20260815T034334Z.csv
vLLM published,TP1,128,337066.406312,37.534811,false,true,experiments/mi355x/results/vllm-mi355x4-20260815T034334Z.csv
vLLM same-node,TP1,128,334353.113456,37.048213,false,true,experiments/mi355x/results/vllm-mi355x4-20260815T034334Z.csv
vLLM published,TP4,4,20476.905408,305.207748,false,true,experiments/mi355x/results/vllm-mi355x4-20260815T034334Z.csv
vLLM same-node,TP4,4,20757.038880,302.273067,false,true,experiments/mi355x/results/vllm-mi355x4-20260815T034334Z.csv
vLLM published,TP8,4,10268.287320,301.953452,false,false,experiments/mi355x/results/vllm-mi355x4-20260815T034334Z.csv
vLLM same-node,TP8,4,10304.873048,299.646074,false,false,experiments/mi355x/results/vllm-mi355x4-20260815T034334Z.csv
vLLM published,TP8,8,18890.050768,279.514623,false,false,experiments/mi355x/results/vllm-mi355x4-20260815T034334Z.csv
vLLM same-node,TP8,8,18928.997432,277.052427,false,false,experiments/mi355x/results/vllm-mi355x4-20260815T034334Z.csv
FastAFD,4:4,4,1271.109674,36.908563,true,true,/workspace/mishas/FastAFD-MI355X-results/afd-mi355x4-maxreq8-20260815T1834Z/afd-4a-4f/c4/afd_gptoss120b_8k1k_4a_4f_c4.json
FastAFD,4:4,8,1839.413051,28.536047,false,true,/workspace/mishas/FastAFD-MI355X-results/afd-mi355x4-maxreq8-20260815T1834Z/afd-4a-4f/c8/afd_gptoss120b_8k1k_4a_4f_c8.json
FastAFD,7:1,4,1262.704511,36.703822,false,true,/workspace/mishas/FastAFD-MI355X-results/afd-mi355x4-maxreq8-20260815T1834Z/afd-7a-1f/c4/afd_gptoss120b_8k1k_7a_1f_c4.json
FastAFD,7:1,8,2003.115421,29.016201,true,true,/workspace/mishas/FastAFD-MI355X-results/afd-mi355x4-maxreq8-20260815T1834Z/afd-7a-1f/c8/afd_gptoss120b_8k1k_7a_1f_c8.json
